"Label (Grouping)","Androscoggin County, Maine!!Total!!Estimate","Androscoggin County, Maine!!Total!!Margin of Error","Androscoggin County, Maine!!Native!!Estimate","Androscoggin County, Maine!!Native!!Margin of Error","Androscoggin County, Maine!!Foreign born!!Estimate","Androscoggin County, Maine!!Foreign born!!Margin of Error","Androscoggin County, Maine!!Foreign born; Naturalized citizen!!Estimate","Androscoggin County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Androscoggin County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Androscoggin County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Aroostook County, Maine!!Total!!Estimate","Aroostook County, Maine!!Total!!Margin of Error","Aroostook County, Maine!!Native!!Estimate","Aroostook County, Maine!!Native!!Margin of Error","Aroostook County, Maine!!Foreign born!!Estimate","Aroostook County, Maine!!Foreign born!!Margin of Error","Aroostook County, Maine!!Foreign born; Naturalized citizen!!Estimate","Aroostook County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Aroostook County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Aroostook County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Cumberland County, Maine!!Total!!Estimate","Cumberland County, Maine!!Total!!Margin of Error","Cumberland County, Maine!!Native!!Estimate","Cumberland County, Maine!!Native!!Margin of Error","Cumberland County, Maine!!Foreign born!!Estimate","Cumberland County, Maine!!Foreign born!!Margin of Error","Cumberland County, Maine!!Foreign born; Naturalized citizen!!Estimate","Cumberland County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Cumberland County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Cumberland County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Franklin County, Maine!!Total!!Estimate","Franklin County, Maine!!Total!!Margin of Error","Franklin County, Maine!!Native!!Estimate","Franklin County, Maine!!Native!!Margin of Error","Franklin County, Maine!!Foreign born!!Estimate","Franklin County, Maine!!Foreign born!!Margin of Error","Franklin County, Maine!!Foreign born; Naturalized citizen!!Estimate","Franklin County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Franklin County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Franklin County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Hancock County, Maine!!Total!!Estimate","Hancock County, Maine!!Total!!Margin of Error","Hancock County, Maine!!Native!!Estimate","Hancock County, Maine!!Native!!Margin of Error","Hancock County, Maine!!Foreign born!!Estimate","Hancock County, Maine!!Foreign born!!Margin of Error","Hancock County, Maine!!Foreign born; Naturalized citizen!!Estimate","Hancock County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Hancock County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Hancock County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Kennebec County, Maine!!Total!!Estimate","Kennebec County, Maine!!Total!!Margin of Error","Kennebec County, Maine!!Native!!Estimate","Kennebec County, Maine!!Native!!Margin of Error","Kennebec County, Maine!!Foreign born!!Estimate","Kennebec County, Maine!!Foreign born!!Margin of Error","Kennebec County, Maine!!Foreign born; Naturalized citizen!!Estimate","Kennebec County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Kennebec County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Kennebec County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Knox County, Maine!!Total!!Estimate","Knox County, Maine!!Total!!Margin of Error","Knox County, Maine!!Native!!Estimate","Knox County, Maine!!Native!!Margin of Error","Knox County, Maine!!Foreign born!!Estimate","Knox County, Maine!!Foreign born!!Margin of Error","Knox County, Maine!!Foreign born; Naturalized citizen!!Estimate","Knox County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Knox County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Knox County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Lincoln County, Maine!!Total!!Estimate","Lincoln County, Maine!!Total!!Margin of Error","Lincoln County, Maine!!Native!!Estimate","Lincoln County, Maine!!Native!!Margin of Error","Lincoln County, Maine!!Foreign born!!Estimate","Lincoln County, Maine!!Foreign born!!Margin of Error","Lincoln County, Maine!!Foreign born; Naturalized citizen!!Estimate","Lincoln County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Lincoln County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Lincoln County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Oxford County, Maine!!Total!!Estimate","Oxford County, Maine!!Total!!Margin of Error","Oxford County, Maine!!Native!!Estimate","Oxford County, Maine!!Native!!Margin of Error","Oxford County, Maine!!Foreign born!!Estimate","Oxford County, Maine!!Foreign born!!Margin of Error","Oxford County, Maine!!Foreign born; Naturalized citizen!!Estimate","Oxford County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Oxford County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Oxford County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Penobscot County, Maine!!Total!!Estimate","Penobscot County, Maine!!Total!!Margin of Error","Penobscot County, Maine!!Native!!Estimate","Penobscot County, Maine!!Native!!Margin of Error","Penobscot County, Maine!!Foreign born!!Estimate","Penobscot County, Maine!!Foreign born!!Margin of Error","Penobscot County, Maine!!Foreign born; Naturalized citizen!!Estimate","Penobscot County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Penobscot County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Penobscot County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Piscataquis County, Maine!!Total!!Estimate","Piscataquis County, Maine!!Total!!Margin of Error","Piscataquis County, Maine!!Native!!Estimate","Piscataquis County, Maine!!Native!!Margin of Error","Piscataquis County, Maine!!Foreign born!!Estimate","Piscataquis County, Maine!!Foreign born!!Margin of Error","Piscataquis County, Maine!!Foreign born; Naturalized citizen!!Estimate","Piscataquis County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Piscataquis County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Piscataquis County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Sagadahoc County, Maine!!Total!!Estimate","Sagadahoc County, Maine!!Total!!Margin of Error","Sagadahoc County, Maine!!Native!!Estimate","Sagadahoc County, Maine!!Native!!Margin of Error","Sagadahoc County, Maine!!Foreign born!!Estimate","Sagadahoc County, Maine!!Foreign born!!Margin of Error","Sagadahoc County, Maine!!Foreign born; Naturalized citizen!!Estimate","Sagadahoc County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Sagadahoc County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Sagadahoc County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Somerset County, Maine!!Total!!Estimate","Somerset County, Maine!!Total!!Margin of Error","Somerset County, Maine!!Native!!Estimate","Somerset County, Maine!!Native!!Margin of Error","Somerset County, Maine!!Foreign born!!Estimate","Somerset County, Maine!!Foreign born!!Margin of Error","Somerset County, Maine!!Foreign born; Naturalized citizen!!Estimate","Somerset County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Somerset County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Somerset County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Waldo County, Maine!!Total!!Estimate","Waldo County, Maine!!Total!!Margin of Error","Waldo County, Maine!!Native!!Estimate","Waldo County, Maine!!Native!!Margin of Error","Waldo County, Maine!!Foreign born!!Estimate","Waldo County, Maine!!Foreign born!!Margin of Error","Waldo County, Maine!!Foreign born; Naturalized citizen!!Estimate","Waldo County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Waldo County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Waldo County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Washington County, Maine!!Total!!Estimate","Washington County, Maine!!Total!!Margin of Error","Washington County, Maine!!Native!!Estimate","Washington County, Maine!!Native!!Margin of Error","Washington County, Maine!!Foreign born!!Estimate","Washington County, Maine!!Foreign born!!Margin of Error","Washington County, Maine!!Foreign born; Naturalized citizen!!Estimate","Washington County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Washington County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Washington County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","York County, Maine!!Total!!Estimate","York County, Maine!!Total!!Margin of Error","York County, Maine!!Native!!Estimate","York County, Maine!!Native!!Margin of Error","York County, Maine!!Foreign born!!Estimate","York County, Maine!!Foreign born!!Margin of Error","York County, Maine!!Foreign born; Naturalized citizen!!Estimate","York County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","York County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","York County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error"
"            American Indian and Alaska Native","","","","","","","","","","","","","","","","","","","","","0.3%","±0.1","0.2%","±0.1","1.1%","±0.8","0.7%","±0.9","1.6%","±1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5%","±0.1","0.5%","±0.1","0.0%","±0.4","0.0%","±0.7","0.0%","±0.9"
"            Asian","","","","","","","","","","","","","","","","","","","","","2.3%","±0.1","0.7%","±0.1","26.4%","±2.1","30.8%","±3.7","21.3%","±3.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1%","±0.1","0.4%","±0.1","21.2%","±3.2","22.8%","±5.4","19.1%","±6.9"
"            Native Hawaiian and Other Pacific Islander","","","","","","","","","","","","","","","","","","","","","0.0%","±0.1","0.0%","±0.1","0.0%","±0.2","0.0%","±0.3","0.0%","±0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0%","±0.1","0.0%","±0.1","0.0%","±0.4","0.0%","±0.7","0.0%","±0.9"
"            Some other race","","","","","","","","","","","","","","","","","","","","","0.5%","±0.2","0.4%","±0.2","2.6%","±0.9","2.8%","±1.4","2.3%","±1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2%","±0.1","0.2%","±0.1","1.4%","±0.9","1.4%","±1.1","1.6%","±1.4"
"        Two or more races","","","","","","","","","","","","","","","","","","","","","3.1%","±0.3","3.1%","±0.3","3.1%","±1.3","3.7%","±1.6","2.4%","±1.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6%","±0.5","2.4%","±0.5","5.6%","±3.4","6.9%","±4.2","3.8%","±3.1"
"        Hispanic or Latino origin (of any race)","","","","","","","","","","","","","","","","","","","","","2.1%","*****","1.7%","±0.1","8.8%","±1.6","9.4%","±2.6","8.2%","±2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8%","*****","1.6%","±0.1","7.2%","±2.2","8.4%","±3.5","5.5%","±3.6"
"        White alone, not Hispanic or Latino","","","","","","","","","","","","","","","","","","","","","89.4%","±0.3","93.0%","±0.4","32.9%","±3.8","40.7%","±4.8","23.9%","±4.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.4%","±0.5","94.6%","±0.5","59.8%","±4.7","59.2%","±6.2","60.5%","±9.0"
"    HOUSEHOLD TYPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In married-couple family","","","","","","","","","","","","","","","","","","","","","59.5%","±1.1","59.5%","±1.2","60.7%","±3.6","60.1%","±5.2","61.4%","±5.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.5%","±1.4","63.1%","±1.4","74.2%","±4.7","69.5%","±6.5","80.6%","±7.5"
"        In other households","","","","","","","","","","","","","","","","","","","","","37.6%","±1.1","37.6%","±1.2","36.8%","±3.6","37.6%","±5.2","35.9%","±5.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.0%","±1.5","35.4%","±1.5","24.2%","±4.6","28.5%","±6.5","18.1%","±7.7"
"    Average  household size","","","","","","","","","","","","","","","","","","","","","2.32","±0.02","2.28","±0.02","2.87","±0.18","2.77","±0.20","3.02","±0.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.33","±0.03","2.34","±0.03","2.30","±0.21","2.09","±0.24","2.67","±0.41"
"    Average family size","","","","","","","","","","","","","","","","","","","","","2.90","±0.04","2.87","±0.04","3.32","±0.18","3.12","±0.22","3.65","±0.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.84","±0.04","2.84","±0.04","2.93","±0.23","2.76","±0.29","3.16","±0.48"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15  years and over","","","","","","","","","","","","","","","","","","","","","249,605","±59","233,397","±903","16,208","±900","9,092","±841","7,116","±694","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","174,528","±46","167,568","±594","6,960","±594","4,120","±543","2,840","±530"
"        Never married","","","","","","","","","","","","","","","","","","","","","31.8%","±0.7","32.1%","±0.8","28.0%","±2.7","22.9%","±3.0","34.5%","±4.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.4%","±0.7","27.0%","±0.7","10.6%","±3.2","11.1%","±4.2","9.8%","±4.5"
"        Now married, except separated","","","","","","","","","","","","","","","","","","","","","49.7%","±0.9","49.4%","±1.0","53.3%","±3.3","54.2%","±4.4","52.2%","±4.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.2%","±1.3","52.5%","±1.3","68.3%","±5.0","63.8%","±6.8","74.8%","±8.2"
"        Divorced or separated","","","","","","","","","","","","","","","","","","","","","13.0%","±0.6","13.0%","±0.6","13.2%","±2.1","15.5%","±3.0","10.4%","±3.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.4%","±0.9","14.5%","±0.9","12.2%","±3.9","11.5%","±5.0","13.1%","±7.3"
"        Widowed","","","","","","","","","","","","","","","","","","","","","5.5%","±0.4","5.6%","±0.4","5.5%","±1.4","7.5%","±2.1","2.9%","±1.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0%","±0.5","5.9%","±0.5","9.0%","±2.8","13.6%","±4.7","2.4%","±2.0"
"SCHOOL ENROLLMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 3 years and over enrolled in school","","","","","","","","","","","","","","","","","","","","","65,303","±1,243","61,541","±1,206","3,762","±492","1,356","±357","2,406","±434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40,163","±1,186","39,538","±1,196","625","±152","349","±123","276","±105"
"        Nursery school, preschool","","","","","","","","","","","","","","","","","","","","","6.6%","±0.7","6.9%","±0.7","1.8%","±1.4","0.7%","±0.8","2.5%","±2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2%","±0.9","5.3%","±0.9","2.9%","±3.8","5.2%","±7.1","0.0%","±9.5"
"        Elementary school (grades K-8)","","","","","","","","","","","","","","","","","","","","","40.6%","±0.9","41.3%","±1.0","29.1%","±5.8","22.2%","±7.8","33.0%","±7.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.3%","±1.6","48.7%","±1.6","18.7%","±11.7","17.8%","±15.7","19.9%","±17.1"
"        High school (grades 9-12)","","","","","","","","","","","","","","","","","","","","","20.2%","±0.8","20.2%","±0.8","20.7%","±4.7","18.2%","±8.3","22.1%","±6.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2%","±1.2","24.0%","±1.3","32.8%","±13.9","18.6%","±13.9","50.7%","±23.6"
"        College or graduate school","","","","","","","","","","","","","","","","","","","","","32.6%","±1.3","31.6%","±1.3","48.4%","±6.5","58.9%","±12.2","42.4%","±7.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.3%","±2.2","22.0%","±2.2","45.6%","±13.7","58.5%","±17.3","29.3%","±19.3"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","","","","","","","","","","","","","","","","","","","","","214,177","±159","200,267","±706","13,910","±707","8,307","±760","5,603","±535","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152,421","±218","145,778","±584","6,643","±588","3,935","±547","2,708","±537"
"        Less than high school graduate","","","","","","","","","","","","","","","","","","","","","4.7%","±0.4","3.8%","±0.3","17.5%","±3.0","18.1%","±3.4","16.4%","±4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.2%","±0.5","5.8%","±0.5","16.6%","±4.7","16.7%","±6.6","16.5%","±5.9"
"        High school graduate (includes equivalency)","","","","","","","","","","","","","","","","","","","","","21.6%","±0.9","21.8%","±0.9","19.6%","±2.8","19.2%","±3.2","20.0%","±4.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.5%","±1.1","29.8%","±1.1","23.5%","±4.6","21.3%","±5.9","26.6%","±6.9"
"        Some college or associate's degree","","","","","","","","","","","","","","","","","","","","","25.6%","±0.8","26.0%","±0.9","20.2%","±2.6","23.2%","±3.6","15.8%","±3.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.1%","±1.1","32.3%","±1.1","27.2%","±3.5","36.1%","±5.7","14.2%","±5.3"
"        Bachelor's degree","","","","","","","","","","","","","","","","","","","","","29.1%","±0.9","29.5%","±0.9","22.4%","±2.7","19.7%","±2.9","26.4%","±4.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.8%","±0.9","20.9%","±0.9","18.4%","±4.6","14.2%","±4.3","24.6%","±9.4"
"        Graduate or professional degree","","","","","","","","","","","","","","","","","","","","","19.0%","±0.7","18.9%","±0.7","20.4%","±3.3","19.7%","±3.9","21.4%","±5.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3%","±0.8","11.2%","±0.8","14.3%","±5.6","11.7%","±4.5","18.0%","±11.6"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 5 years and over","","","","","","","","","","","","","","","","","","","","","280,348","±48","262,929","±921","17,419","±925","9,463","±875","7,956","±768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","196,484","±63","189,307","±604","7,177","±595","4,209","±550","2,968","±541"
"        English only","","","","","","","","","","","","","","","","","","","","","92.9%","±0.4","96.9%","±0.3","33.9%","±3.0","42.1%","±4.4","24.1%","±4.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.2%","±0.6","95.2%","±0.5","40.0%","±5.5","39.8%","±6.5","40.2%","±10.7"
"        Language other than English","","","","","","","","","","","","","","","","","","","","","7.1%","±0.4","3.1%","±0.3","66.1%","±3.0","57.9%","±4.4","75.9%","±4.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8%","±0.6","4.8%","±0.5","60.0%","±5.5","60.2%","±6.5","59.8%","±10.7"
"            Speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","2.4%","±0.3","0.4%","±0.1","32.8%","±3.3","28.3%","±4.2","38.2%","±4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7%","±0.3","0.7%","±0.2","25.7%","±4.6","20.9%","±5.8","32.6%","±8.2"
"EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 16 years and over","","","","","","","","","","","","","","","","","","","","","246,303","±335","230,142","±919","16,161","±907","9,082","±838","7,079","±704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172,029","±263","165,108","±689","6,921","±592","4,089","±545","2,832","±535"
"        In labor force","","","","","","","","","","","","","","","","","","","","","69.0%","±0.5","69.1%","±0.5","68.4%","±3.4","68.3%","±3.4","68.7%","±6.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.7%","±0.8","66.6%","±0.8","68.7%","±5.1","63.3%","±6.6","76.5%","±6.5"
"            Civilian labor force","","","","","","","","","","","","","","","","","","","","","68.8%","±0.5","68.9%","±0.5","68.0%","±3.7","67.6%","±3.5","68.7%","±6.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.3%","±0.8","66.2%","±0.8","68.7%","±5.1","63.2%","±6.6","76.5%","±6.5"
